41,IN901NJ03016,WINGREENS FARMS PRIVATE LIMITED 0.001% SERIES B1 PARTLY PAID PREF 23MR41,WINGREENS FARMS PRIVATE LIMITED,PREFERENCE SHARES,ACTIVE
42,IN901NJ03024,WINGREENS FARMS PRIVATE LIMITED 0.001% SERIES B1 LENDER PP PREF 16AP41,WINGREENS FARMS PRIVATE LIMITED,PREFERENCE SHARES,ACTIVE
43,IN901WI01013,INCRED CAPITAL FINANCIAL SERVICES PRIVATE LIMITED EQ PP RS. 6/-,INCRED CAPITAL FINANCIAL SERVICES PRIVATE LIMITED,EQUITY SHARES,DELETED
44,IN901YG01013,GREEN MALABAR FINANCE VENTURES LIMITED EQ PP RE.1/-,GREEN MALABAR FINANCE VENTURES LIMITED,EQUITY SHARES,ACTIVE
45,IN901YG01021,GREEN MALABAR FINANCE VENTURES LIMITED EQ PP RE.0.10/-,GREEN MALABAR FINANCE VENTURES LIMITED,EQUITY SHARES,ACTIVE
46,IN9020201012,CG POWER EQUIPMENTS LIMITED EQ PP RE.0.20,CG POWER EQUIPMENTS LIMITED,EQUITY SHARES,ACTIVE
47,IN9022A01014,INDO GULF CORP. EQ PRODIV 030200,INDO GULF CORPORATION LIMITED,Equity Shares,Deleted
48,IN9022N01017,ATLAS JEWELLERY INDIA LIMITED EQ PP RS. 5/-,ATLAS JEWELLERY INDIA LIMITED,EQUITY SHARES,ACTIVE
49,IN9023501012,ENVISION SCIENTIFIC PRIVATE LIMITED EQ PP RS 3,ENVISION SCIENTIFIC PRIVATE LIMITED,EQUITY SHARES,DELETED
50,IN9028A01011,BANK OF BARODA INACTIVE-NPP,BANK OF BARODA,Equity Shares,Deleted
51,IN902DC01014,APAC FINANCIAL SERVICES PRIVATE LIMITED EQ PP RE 1/-,APAC FINANCIAL SERVICES PRIVATE LIMITED,EQUITY SHARES,ACTIVE
52,IN902DI01011,VAYA FINSERV PRIVATE LIMITED EQ PP RE.1/-,VAYA FINSERV PRIVATE LIMITED,EQUITY SHARES,ACTIVE
53,IN902H201016,QWIKCILVER SOLUTIONS PRIVATE LIMITED EQ PP RE. 1/-,QWIKCILVER SOLUTIONS PRIVATE LIMITED,EQUITY SHARES,ACTIVE
54,IN902L001014,KLASS PACK LIMITED EQ PP RS 25/-,KLASS PACK LIMITED,EQUITY SHARES,DELETED
55,IN902L001022,KLASS PACK LIMITED EQ PP RS 75/-,KLASS PACK LIMITED,EQUITY SHARES,DELETED
56,IN902S301011,BOROSIL TECHNOLOGIES LIMITED EQ PP RS. 5/-,BOROSIL TECHNOLOGIES LIMITED,EQUITY SHARES,DELETED
57,IN902VP01018,IKF HOME FINANCE LIMITED EQ PP RS.5/-,IKF HOME FINANCE LIMITED,EQUITY SHARES,ACTIVE
58,IN902X201016,SASTASUNDAR MARKETPLACE LIMITED EQ PP RS.5/-,SASTASUNDAR MARKETPLACE LIMITED,EQUITY SHARES,ACTIVE
59,IN902X201024,SASTASUNDAR MARKETPLACE LIMITED EQ PP RS.7.50/-,SASTASUNDAR MARKETPLACE LIMITED,EQUITY SHARES,ACTIVE
60,IN902X201032,SASTASUNDAR MARKETPLACE LIMITED EQ PP RS.2.50/-,SASTASUNDAR MARKETPLACE LIMITED,EQUITY SHARES,ACTIVE
61,IN902XD01010,HINDUSTAN APPLIANCES LIMITED EQ PP RS. 2.50/-,HINDUSTAN APPLIANCES LIMITED,EQUITY SHARES,ACTIVE
62,IN902ZT01011,GENU PATH LABS LIMITED EQ PP RS. 2.50/-,GENU PATH LABS LIMITED,EQUITY SHARES,ACTIVE
63,IN902ZT01029,GENU PATH LABS LIMITED EQ PP FV RS.5/-,GENU PATH LABS LIMITED,EQUITY SHARES,ACTIVE
64,IN902ZT01037,GENU PATH LABS LIMITED EQ PP RS. 7.50/-,GENU PATH LABS LIMITED,EQUITY SHARES,ACTIVE
65,IN9031B01013,AJANTA PHARMA PP PRODIV 200400,AJANTA PHARMA LIMITED,Equity Shares,Deleted
66,IN9031B01021,AJANTA PHARMA FP PRODIV 200400,AJANTA PHARMA LIMITED,Equity Shares,Deleted
67,IN9032B01011,PRIME SECURITIES LIMITED PP PRODIV 140100,PRIME SECURITIES LIMITED,EQUITY SHARES,BLOCKED DUE TO ACA
68,IN9032B01029,PRIME SECURITIES LIMITED PP PRODIV 310300,PRIME SECURITIES LIMITED,Equity Shares,Deleted
69,IN9032B01037,PRIME SECURITIES LIMITED PP RS2.50 140101,PRIME SECURITIES LIMITED,Equity Shares,Deleted
70,IN9032B01045,PRIME SECURITIES LIMITED PP RS5.00 140701,PRIME SECURITIES LIMITED,Equity Shares,Deleted
71,IN9032B01052,PRIME SECURITIES LIMITED FP RS10/- 140102,PRIME SECURITIES LIMITED,Equity Shares,Deleted
72,IN9033B01019,QUINTEGRA SOLUTIONS EQ PRODIV 250100,QUINTEGRA SOLUTIONS LIMITED,Equity Shares,Deleted
73,IN9034A01019,ARVIND LIMITED PP RS.5/-221201,ARVIND LIMITED,Equity Shares,Deleted
74,IN9035103013,SERVICE LEE TECHNOLOGIES PRIVATE LIMITED 0.01% SERIES B PP PREF 27JL38,SERVICE LEE TECHNOLOGIES PRIVATE LIMITED,PREFERENCE SHARES,ACTIVE
75,IN9036D01018,KARUR VYSYA BNK PP PRODIV RS 5/-,THE KARUR VYSYA BANK LIMITED,Equity Shares,Deleted
76,IN9036D01026,KARUR VYSYA BNK PP PROVID RS 7.5,THE KARUR VYSYA BANK LIMITED,Equity Shares,Deleted
77,IN9036D01034,KARUR VYSYA BNK EQ NEW PP RS. 5/-,THE KARUR VYSYA BANK LIMITED,Equity Shares,Deleted
