ISIN,NAME
"INF109K016L0","ICICI Prudential Bluechip Growth Direct Plan"
"INF174K01KW6","Kotak Bluechip Growth Direct Plan"
"INF174K01KY2","Kotak Bluechip IDCW Payout Direct Plan"
"INF174K01KX4","Kotak Bluechip IDCW Reinvest Direct Plan"
"INF174K01KY2","Kotak Bluechip IDCW Reinvest Direct Plan"
"INF179K01YT2","HDFC Top 100 IDCW Payout Direct Plan"
"INF179K01YT2","HDFC Top 100 IDCW Reinvest Direct Plan"
"INF179K01YV8","HDFC Top 100 Growth Direct Plan"
"INF192K01BX5","JM Large Cap IDCW Payout Direct Plan"
"INF192K01BZ0","JM Large Cap Growth Direct Plan"
"INF192K01JJ7","JM Large Cap Monthly IDCW Payout Direct Plan"
"INF192K01JK5","JM Large Cap Monthly IDCW Reinvest Direct Plan"
"INF192K01JN9","JM Large Cap Quarterly IDCW Payout Direct Plan"
"INF192K01JO7","JM Large Cap Quarterly IDCW Reinvest Direct Plan"
"INF192K01JR0","JM Large Cap Half Yearly IDCW Payout Direct Plan"
"INF192K01JZ3","JM Large Cap Half Yearly IDCW Reinvest Direct Plan"
"INF192K01JU4","JM Large Cap Annual IDCW Payout Direct Plan"
"INF192K01JV2","JM Large Cap Annual IDCW Reinvest Direct Plan"
"INF192K01BY3","JM Large Cap IDCW Reinvest Direct Plan"
"INF194K01Z44","IDFC Large Cap Growth Direct Plan"
"INF194K01Z51","IDFC Large Cap IDCW Payout Direct Plan"
"INF194K01Z51","IDFC Large Cap IDCW Reinvest Direct Plan"
"INF200K01QW6","SBI Blue Chip IDCW Payout Direct Plan"
"INF200K01QW6","SBI Blue Chip IDCW Reinvest Direct Plan"
"INF200K01QX4","SBI Blue Chip Growth Direct Plan"
"INF204K01D30","Nippon India Large Cap Bonus Bonus Growth Direct Plan"
"INF204K01XG7","Nippon India Large Cap IDCW Payout Direct Plan"
"INF204K01XH5","Nippon India Large Cap IDCW Reinvest Direct Plan"
"INF204K01XI3","Nippon India Large Cap Growth Direct Plan"
"INF205K01KZ1","Invesco India Largecap IDCW Payout Direct Plan"
"INF205K01LA2","Invesco India Largecap IDCW Reinvest Direct Plan"
"INF205K01LB0","Invesco India Largecap Growth Direct Plan"
"INF209K01YX9","Aditya Birla Sun Life Frontline Equity IDCW Payout Direct Plan"
"INF209K01YX9","Aditya Birla Sun Life Frontline Equity IDCW Reinvest Direct Plan"
"INF209K01YY7","Aditya Birla Sun Life Frontline Equity Growth Direct Plan"
"INF251K01HL1","BNP Paribas Large Cap IDCW Payout Direct Plan"
"INF251K01HM9","BNP Paribas Large Cap IDCW Reinvest Direct Plan"
"INF251K01HN7","BNP Paribas Large Cap Growth Direct Plan"
"INF277K01QY0","Tata Large Cap IDCW Payout Direct Plan"
"INF277K01QY0","Tata Large Cap IDCW Reinvest Direct Plan"
"INF277K01QZ7","Tata Large Cap Growth Direct Plan"
"INF336L01CL9","HSBC Large Cap Equity IDCW Payout Direct Plan"
"INF336L01CL9","HSBC Large Cap Equity IDCW Reinvest Direct Plan"
"INF336L01CM7","HSBC Large Cap Equity Growth Direct Plan"
"INF397L01BV2","IDBI India Top 100 Equity Growth Direct Plan"
"INF397L01BW0","IDBI India Top 100 Equity IDCW Payout Direct Plan"
"INF397L01BX8","IDBI India Top 100 Equity IDCW Reinvest Direct Plan"
"INF582M01CU7","Union Largecap Growth Direct Plan"
"INF582M01CV5","Union Largecap IDCW Payout Direct Plan"
"INF582M01CW3","Union Largecap IDCW Reinvest Direct Plan"
"INF663L01GR4","PGIM India Large Cap Growth Direct Plan"
"INF663L01GS2","PGIM India Large Cap IDCW Payout Direct Plan"
"INF663L01GT0","PGIM India Large Cap IDCW Reinvest Direct Plan"
"INF666M01600","Indiabulls Blue Chip Growth Direct Plan"
"INF666M01618","Indiabulls Blue Chip IDCW Reinvest Direct Plan"
"INF666M01626","Indiabulls Blue Chip IDCW Payout Direct Plan"
