IN2020040068,STATE DEVELOPMENT LOAN 05226 KER 24FB17 7.17 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,BLOCKED DUE TO ACA
IN2020060074,STATE DEVELOPMENT LOAN 07209 KER 23FB17 8.19 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020070016,STATE DEVELOPMENT LOAN 07229 KER 11MY17 8.34 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020070024,STATE DEVELOPMENT LOAN 04571 KER 20JU17 8.45 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020070032,STATE DEVELOPMENT LOAN 07247 KER 17AG17 8.36 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020070040,STATE DEVELOPMENT LOAN 07258 KER 21SP17 8.19 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020070057,STATE DEVELOPMENT LOAN 07262 KER 05OT17 8.20 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020070065,STATE DEVELOPMENT LOAN 07269 KER 14NV17 8.69 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020070073,STATE DEVELOPMENT LOAN 08203 KER 08JAN18 8.12 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020070081,STATE DEVELOPMENT LOAN 05601 KER 18FB18 8 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020080015,STATE DEVELOPMENT LOAN 05821 KER 23AP18 8.5 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020080023,STATE DEVELOPMENT LOAN 08260 KER 28MY18 8.50 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020080031,STATE DEVELOPMENT LOAN 08269 KER 01AG18 9.86 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020080049,STATE DEVELOPMENT LOAN 06508 KER 08OT18 8.5 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020080056,STATE DEVELOPMENT LOAN 06621 KER 21NV18 7.77 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020080064,STATE DEVELOPMENT LOAN 06715 KER 24DC18 6.38 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020080072,STATE DEVELOPMENT LOAN 08318 KER 07JN19 6.10 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020080080,STATE DEVELOPMENT LOAN 06933 KER 18FB19 7.45 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020080098,STATE DEVELOPMENT LOAN 07023 KER 18MR19 8.45 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020080106,STATE DEVELOPMENT LOAN 07045 KER 25MR19 8.27 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020090014,STATE DEVELOPMENT LOAN 09295 KER 24JU19 7.83 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020090022,STATE DEVELOPMENT LOAN 09333 KER 23SP19 8.13 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020090030,STATE DEVELOPMENT LOAN 09354 KER 30OT19 8.12 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020090048,STATE DEVELOPMENT LOAN 08178 KER 25NV19 8.05 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020090055,STATE DEVELOPMENT LOAN 08309 KER 23DC19 8.35 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020090063,STATE DEVELOPMENT LOAN 10221 KER 16FB20 8.56 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020100011,STATE DEVELOPMENT LOAN 10324 KER 10NV20 8.43 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020100029,STATE DEVELOPMENT LOAN 10843 KER 22DC20 8.34 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020100037,STATE DEVELOPMENT LOAN 11185 KER 02FB21 8.5 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020100045,STATE DEVELOPMENT LOAN 11229 KER 17FB21 8.51 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
IN2020100052,STATE DEVELOPMENT LOAN 11246 KER 16MR21 8.36 FV RS 100,STATE DEVELOPMENT LOAN,GOVERNMENT SECURITIES,DELETED
